Implementation,Resolution,Time (seconds)
Native Python,256,0.23049975000321865
NumPy Implementation,256,0.039786458015441895
Numba Implementation,256,0.1121719169896096
Native Python,512,0.851714082993567
NumPy Implementation,512,0.15568308299407363
Numba Implementation,512,0.03209837502799928
Native Python,1024,3.4064950410393067
NumPy Implementation,1024,0.6676971670240164
Numba Implementation,1024,0.1275909579708241
Native Python,2048,13.87572116596857
NumPy Implementation,2048,2.7648841670015827
Numba Implementation,2048,0.5368843749747612
Native Python,4096,55.83973820798565
NumPy Implementation,4096,12.230725417030044
Numba Implementation,4096,2.1013173749670386
Native Python,8192,223.5286927500274
NumPy Implementation,8192,56.06576391699491
Numba Implementation,8192,8.44559933396522
